Team,xG,xGA,xGD,Open Play xG,Open Play xGA,Open Play xGD,Set Piece xG,Set Piece xGA,Set Piece xGD,npxG,npxGA,npxGD,Goals,Goals Conceded,GD,GD-xGD,Possession,Field Tilt,Avg Pass Height,xT,xT Against,Passes in Opposition Half,Passes into Box,Shots,Shots Faced,Shots per 1.0 xT,Shots Faced per 1.0 xT Against,PPDA,High Recoveries,High Recoveries Against,Crosses,Corners,Fouls,On-Ball Pressure,On-Ball Pressure Share,Off-Ball Pressure,Off-Ball Pressure Share,Game Control,Game Control Share,Throw-Ins into the Box,Match,Date
Strasbourg,1.44,3.31,-1.87,0.59,3.07,-2.48,0.09,0.24,-0.15,0.68,3.31,-2.63,1,1,0,1.87,54.8,48.93,42.6,0.37,0.72,190,14,8,19,21.62,26.39,11.49,5,4,14,7,12,47.7,30.64,38.27,30.65,37.63,22.96,0,Nice 1-1 Strasbourg,2026-01-03
Nice,3.31,1.44,1.87,3.07,0.59,2.48,0.24,0.09,0.15,3.31,0.68,2.63,1,1,0,-1.87,45.2,51.07,43.11,0.72,0.37,166,18,19,8,26.39,21.62,12.67,4,5,14,5,12,108.0,69.36,86.6,69.35,126.27,77.04,1,Nice 1-1 Strasbourg,2026-01-03
Olympique Lyonnais,1.91,1.3,0.61,0.99,1.3,-0.31,0.92,0.0,0.92,1.91,1.3,0.61,3,1,2,1.39,55.5,52.76,46.56,0.68,0.58,234,13,13,6,19.12,10.34,12.65,1,11,13,2,12,129.2,73.83,29.6,28.59,112.7,67.59,0,Monaco 1-3 Olympique Lyonnais,2026-01-03
Monaco,1.3,1.91,-0.61,1.3,0.99,0.31,0.0,0.92,-0.92,1.3,1.91,-0.61,1,3,-2,-1.39,44.5,47.24,46.1,0.58,0.68,182,11,6,13,10.34,19.12,10.84,11,1,23,7,14,45.8,26.17,73.93,71.41,54.03,32.41,3,Monaco 1-3 Olympique Lyonnais,2026-01-03
Lens,2.0,0.76,1.24,1.86,0.71,1.15,0.14,0.05,0.09,2.0,0.76,1.24,3,0,3,1.76,67.4,71.47,51.66,0.99,0.39,355,18,16,8,16.16,20.51,5.42,7,5,26,8,16,214.7,91.05,6.53,4.88,135.6,71.01,0,Toulouse 0-3 Lens,2026-01-02
Toulouse,0.76,2.0,-1.24,0.71,1.86,-1.15,0.05,0.14,-0.09,0.76,2.0,-1.24,0,3,-3,-1.76,32.6,28.53,44.27,0.39,0.99,112,9,8,16,20.51,16.16,15.76,5,7,11,2,16,21.1,8.95,127.4,95.12,55.37,28.99,2,Toulouse 0-3 Lens,2026-01-02
Monaco,2.78,2.26,0.52,2.78,2.18,0.6,0.0,0.08,-0.08,2.78,2.26,0.52,0,1,-1,-1.52,42.2,50.14,52.32,0.75,0.84,214,16,18,18,24.0,21.43,10.38,10,6,23,7,11,127.2,52.02,92.8,78.25,153.4,66.55,2,Olympique Marseille 1-0 Monaco,2025-12-14
Olympique Marseille,2.26,2.78,-0.52,2.18,2.78,-0.6,0.08,0.0,0.08,2.26,2.78,-0.52,1,0,1,1.52,57.8,49.86,47.63,0.84,0.75,251,15,18,18,21.43,24.0,12.27,6,10,11,3,11,117.3,47.98,25.8,21.75,77.1,33.45,0,Olympique Marseille 1-0 Monaco,2025-12-14
Nice,0.82,1.56,-0.74,0.8,1.53,-0.73,0.02,0.02,0.0,0.82,1.56,-0.74,0,2,-2,-1.26,54.2,51.94,41.96,0.7,0.89,183,9,8,15,11.43,16.85,9.34,2,8,22,5,13,73.9,46.13,29.33,31.61,43.87,21.21,1,Lens 2-0 Nice,2025-12-14
Lens,1.56,0.82,0.74,1.53,0.8,0.73,0.02,0.02,0.0,1.56,0.82,0.74,2,0,2,1.26,45.8,48.06,43.1,0.89,0.7,177,10,15,8,16.85,11.43,10.41,8,2,14,2,17,86.3,53.87,63.47,68.39,163.0,78.79,0,Lens 2-0 Nice,2025-12-14
Lorient,0.48,1.24,-0.76,0.47,1.05,-0.58,0.01,0.19,-0.18,0.48,1.24,-0.76,0,0,0,0.76,37.5,33.13,41.66,0.31,1.07,157,7,9,12,29.03,11.21,27.76,3,6,11,3,3,49.4,22.06,132.27,76.28,67.53,39.95,0,Strasbourg 0-0 Lorient,2025-12-14
Strasbourg,1.24,0.48,0.76,1.05,0.47,0.58,0.19,0.01,0.18,1.24,0.48,0.76,0,0,0,-0.76,62.5,66.87,49.67,1.07,0.31,379,13,12,9,11.21,29.03,15.32,6,3,38,11,6,174.5,77.94,41.13,23.72,101.5,60.05,0,Strasbourg 0-0 Lorient,2025-12-14
